,ch_n,ch_e,station_name,lat,lon,commune_id,name,canton
635,1226322.996,2681736.348,Baar Lindenpark,47.1828098947,8.5170151791,1701.0,Baar,ZG
636,1225362.84,2681608.406,Zug,47.1741901542,8.515153622669999,1711.0,Zug,ZG
637,1225310.733,2681577.551,Zug,47.1737253152,8.514737229480001,1711.0,Zug,ZG
638,1221676.538,2675258.3819999998,Rotkreuz,47.1417883228,8.43078281935,1707.0,Risch,ZG
639,1221677.305,2675257.0519999997,Rotkreuz,47.1417953726,8.430765415249999,1707.0,Risch,ZG
640,1249012.751,2658045.329,Hendschiken,47.389386296000005,8.207403761939998,4198.0,Hendschiken,AG
641,1247274.636,2660116.01,Dottikon-Dintikon,47.3735684315,8.23459354552,4080.0,Villmergen,AG
642,1236601.707,2668163.819,Muri AG,47.2767951404,8.339520083630001,4236.0,Muri (AG),AG
643,1233307.355,2670178.8680000002,Benzenschwil,47.246954889799994,8.36563547792,4234.0,Merenschwand,AG
644,1230891.217,2671945.167,Muhlau,47.225034255299995,8.38857837967,4235.0,Mühlau,AG
645,1224499.576,2673202.795,Oberruti,47.1674095928,8.404144007380001,4237.0,Oberrüti,AG
646,1239767.377,2666230.971,Boswil-Bunzen,47.3054636254,8.31444341402,4228.0,Boswil,AG
647,1236604.947,2668161.305,Muri AG,47.2768245402,8.339487351519999,4236.0,Muri (AG),AG
648,1221750.11,2675234.902,Rotkreuz,47.1424527064,8.430485566,1707.0,Risch,ZG
649,1226833.882,2672679.037,Sins,47.1884622566,8.397612729939999,4239.0,Sins,AG
650,1221746.354,2675221.441,Rotkreuz,47.1424204546,8.43030749664,1707.0,Risch,ZG
651,1240747.799,2656394.344,Boniswil,47.315195403400004,8.18449868274,4192.0,Boniswil,AG
652,1242241.363,2655729.285,Hallwil,47.3286850184,8.17588862899,4197.0,Hallwil,AG
653,1224369.42,2664437.786,Hochdorf,47.1671507121,8.28852813265,1031.0,Hochdorf,LU
654,1235426.424,2657784.93,Beinwil am See,47.267214386000006,8.20220488785,4131.0,Beinwil am See,AG
655,1237727.533,2657516.997,Birrwil,47.2879341515,8.19895910599,4132.0,Birrwil,AG
656,1244136.3,2654419.574,Seon,47.3458373709,8.15879292786,4209.0,Seon,AG
657,1217807.976,2666876.9930000002,Waldibrucke,47.107893303100006,8.31972584256,1024.0,Emmen,LU
658,1220480.562,2667089.083,Eschenbach,47.1319098829,8.32291655068,1026.0,Eschenbach (LU),LU
659,1222890.38,2666608.984,Ballwil,47.1536328804,8.316944419330001,1023.0,Ballwil,LU
660,1224091.432,2665193.815,Hochdorf Schonau,47.1645763606,8.29845878963,1031.0,Hochdorf,LU
661,1226436.997,2663783.875,Baldegg,47.1858103365,8.280196433010001,1031.0,Hochdorf,LU
662,1229506.3390000002,2662600.3959999997,Gelfingen,47.2135296712,8.26500903921,1030.0,Hitzkirch,LU
663,1230506.269,2661614.122,Hitzkirch,47.222615868199995,8.25212707371,1030.0,Hitzkirch,LU
664,1249153.074,2655284.268,Lenzburg,47.3908857451,8.170854505369999,4201.0,Lenzburg,AG
